latitude,longitude,elevacao,time_point
39.74115506658831,-105.34475047136304,2005.894,2023-08-19 19:25:27.399000+00:00
39.741164296049746,-105.34476737328659,2005.94,2023-08-19 19:25:27.499000+00:00
39.7411735663625,-105.34478452593515,2006.058,2023-08-19 19:25:27.599000+00:00
39.74118280306904,-105.34480168287472,2006.13,2023-08-19 19:25:27.699000+00:00
39.74119210763195,-105.34481871591433,2005.9550000000002,2023-08-19 19:25:27.799000+00:00
39.74120146724639,-105.34483583079553,2005.54,2023-08-19 19:25:27.899000+00:00
39.74121093820676,-105.34485296981363,2005.679,2023-08-19 19:25:27.999000+00:00
39.74122054021774,-105.34487030877294,2005.722,2023-08-19 19:25:28.099000+00:00
39.74123013484711,-105.34488749575573,2005.788,2023-08-19 19:25:28.199000+00:00
39.74123994396352,-105.34490495024475,2005.941,2023-08-19 19:25:28.299000+00:00
39.74124962185056,-105.34492219493326,2005.996,2023-08-19 19:25:28.399000+00:00
39.741259418384836,-105.34493924083351,2006.1090000000002,2023-08-19 19:25:28.499000+00:00
39.741269376657854,-105.34495669849217,2006.17,2023-08-19 19:25:28.599000+00:00
39.74127916186078,-105.34497386706347,2006.175,2023-08-19 19:25:28.699000+00:00
39.74128913642275,-105.34499124823373,2006.17,2023-08-19 19:25:28.799000+00:00
39.74129913394084,-105.34500853971146,2006.285,2023-08-19 19:25:28.899000+00:00
39.74130935524574,-105.34502618687458,2006.54,2023-08-19 19:25:28.999000+00:00
39.741319498299035,-105.34504362376055,2006.7150000000001,2023-08-19 19:25:29.099000+00:00
39.74132952505376,-105.3450611181518,2006.8120000000001,2023-08-19 19:25:29.199000+00:00
39.74133955788477,-105.34507866731363,2007.026,2023-08-19 19:25:29.299000+00:00
39.7413494813494,-105.34509599259609,2007.084,2023-08-19 19:25:29.399000+00:00
39.741359469633544,-105.34511339614454,2007.289,2023-08-19 19:25:29.499000+00:00
39.74136961851628,-105.34513123003909,2007.5130000000001,2023-08-19 19:25:29.599000+00:00
39.741379604593476,-105.34514882175296,2007.588,2023-08-19 19:25:29.699000+00:00
39.741389674754515,-105.3451666421776,2007.675,2023-08-19 19:25:29.799000+00:00
39.74139997181908,-105.34518487492174,2007.789,2023-08-19 19:25:29.899000+00:00
39.74141008434664,-105.34520282671387,2007.951,2023-08-19 19:25:29.999000+00:00
39.74142019119183,-105.34522081150327,2008.022,2023-08-19 19:25:30.099000+00:00
39.74143017494853,-105.345238756456,2008.1960000000001,2023-08-19 19:25:30.199000+00:00
39.74144010403262,-105.34525659824455,2008.1390000000001,2023-08-19 19:25:30.299000+00:00
39.74144984816353,-105.3452741003276,2008.249,2023-08-19 19:25:30.399000+00:00
39.74145957285807,-105.34529158121916,2008.2730000000001,2023-08-19 19:25:30.499000+00:00
39.741469510188416,-105.34530950321447,2008.2350000000001,2023-08-19 19:25:30.599000+00:00
39.74147931044883,-105.34532729490175,2008.25,2023-08-19 19:25:30.699000+00:00
39.74148913349318,-105.34534526073352,2008.377,2023-08-19 19:25:30.799000+00:00
39.74149890921169,-105.34536316897305,2008.392,2023-08-19 19:25:30.899000+00:00
39.7415085404697,-105.34538077747025,2008.376,2023-08-19 19:25:30.999000+00:00
39.741518212512055,-105.34539838508809,2008.441,2023-08-19 19:25:31.099000+00:00
39.741527965341824,-105.34541616712075,2008.368,2023-08-19 19:25:31.199000+00:00
39.74153775155833,-105.3454341606445,2008.386,2023-08-19 19:25:31.299000+00:00
39.741547318245985,-105.34545189441633,2008.411,2023-08-19 19:25:31.399000+00:00
39.74155712637542,-105.3454699939655,2008.419,2023-08-19 19:25:31.499000+00:00
39.74156682213069,-105.34548795164376,2008.587,2023-08-19 19:25:31.599000+00:00
39.74157659238332,-105.34550592826048,2008.632,2023-08-19 19:25:31.699000+00:00
39.741586364818765,-105.34552396047259,2008.731,2023-08-19 19:25:31.799000+00:00
39.741596005072715,-105.34554179757615,2008.747,2023-08-19 19:25:31.899000+00:00
39.74160552962943,-105.34555953818595,2008.8400000000001,2023-08-19 19:25:31.999000+00:00
39.741615258909974,-105.3455775257899,2008.769,2023-08-19 19:25:32.099000+00:00
39.74162512020571,-105.34559551370499,2008.8310000000001,2023-08-19 19:25:32.199000+00:00
39.74163453093923,-105.34561276722582,2008.653,2023-08-19 19:25:32.299000+00:00
39.74164419768186,-105.34563050179696,2008.604,2023-08-19 19:25:32.399000+00:00
39.74165373954455,-105.3456480570101,2008.6380000000001,2023-08-19 19:25:32.499000+00:00
39.74166330561618,-105.3456655790726,2008.54,2023-08-19 19:25:32.599000+00:00
39.741673086708104,-105.3456833705529,2008.557,2023-08-19 19:25:32.699000+00:00
39.741682775691615,-105.34570108024622,2008.565,2023-08-19 19:25:32.799000+00:00
39.741692649118,-105.34571916303148,2008.623,2023-08-19 19:25:32.899000+00:00
39.741702209724764,-105.34573685309726,2008.665,2023-08-19 19:25:32.999000+00:00
39.7417121718001,-105.34575515892595,2008.5800000000002,2023-08-19 19:25:33.099000+00:00
39.741721975598495,-105.34577304073063,2008.68,2023-08-19 19:25:33.199000+00:00
39.74173195162415,-105.34579120417688,2008.607,2023-08-19 19:25:33.299000+00:00
39.741741942608655,-105.34580947540053,2008.652,2023-08-19 19:25:33.399000+00:00
39.74175169303662,-105.34582731866224,2008.803,2023-08-19 19:25:33.499000+00:00
39.74176157070438,-105.34584533219066,2008.795,2023-08-19 19:25:33.599000+00:00
39.74177152553348,-105.34586347215385,2008.843,2023-08-19 19:25:33.699000+00:00
39.74178169236174,-105.34588190147157,2008.897,2023-08-19 19:25:33.799000+00:00
