latitude,longitude,elevacao,time_point
47.23572998424302,-119.84826553033497,379.813,2023-08-22 22:00:37.599000+00:00
47.235717067158184,-119.84826548878867,379.796,2023-08-22 22:00:37.699000+00:00
47.23570429744435,-119.84826550620507,379.785,2023-08-22 22:00:37.799000+00:00
47.23569171335832,-119.84826550175734,379.794,2023-08-22 22:00:37.899000+00:00
47.23567907214338,-119.84826549299876,379.788,2023-08-22 22:00:37.999000+00:00
47.23566651566729,-119.84826535882624,379.786,2023-08-22 22:00:38.099000+00:00
47.23565369302698,-119.84826533763905,379.794,2023-08-22 22:00:38.199000+00:00
47.235641059537414,-119.84826528093491,379.796,2023-08-22 22:00:38.299000+00:00
47.23562840295774,-119.84826520032404,379.807,2023-08-22 22:00:38.399000+00:00
47.2356157821768,-119.84826511663567,379.832,2023-08-22 22:00:38.499000+00:00
47.235603201934005,-119.84826504395245,379.85200000000003,2023-08-22 22:00:38.599000+00:00
47.23559062783943,-119.84826499010636,379.84000000000003,2023-08-22 22:00:38.699000+00:00
47.23557804208712,-119.84826495130045,379.815,2023-08-22 22:00:38.799000+00:00
47.23556557007457,-119.84826486036381,379.822,2023-08-22 22:00:38.899000+00:00
47.235552871622865,-119.84826486692975,379.789,2023-08-22 22:00:38.999000+00:00
47.235540154204784,-119.84826485178051,379.806,2023-08-22 22:00:39.099000+00:00
47.23552753967953,-119.84826481893292,379.81,2023-08-22 22:00:39.199000+00:00
47.23551494307938,-119.84826481009385,379.78700000000003,2023-08-22 22:00:39.299000+00:00
47.23550227853468,-119.84826479275469,379.79,2023-08-22 22:00:39.399000+00:00
47.23548966218368,-119.84826479585575,379.783,2023-08-22 22:00:39.499000+00:00
47.2354772583211,-119.84826481600429,379.728,2023-08-22 22:00:39.599000+00:00
47.23546476936472,-119.8482648317457,379.725,2023-08-22 22:00:39.699000+00:00
47.235452194521734,-119.84826478390585,379.744,2023-08-22 22:00:39.799000+00:00
47.23543956140011,-119.84826480819163,379.729,2023-08-22 22:00:39.899000+00:00
47.235427082803454,-119.8482647350576,379.729,2023-08-22 22:00:39.999000+00:00
47.23541463993667,-119.84826475316925,379.702,2023-08-22 22:00:40.099000+00:00
47.2354023196042,-119.84826476682667,379.696,2023-08-22 22:00:40.199000+00:00
47.23538977234888,-119.84826480960089,379.709,2023-08-22 22:00:40.299000+00:00
47.23537719001746,-119.8482647589649,379.689,2023-08-22 22:00:40.399000+00:00
47.23536494937052,-119.84826476605222,379.72700000000003,2023-08-22 22:00:40.499000+00:00
47.23535242738557,-119.84826471483288,379.708,2023-08-22 22:00:40.599000+00:00
47.23534010907554,-119.84826475815444,379.689,2023-08-22 22:00:40.699000+00:00
47.23532769679463,-119.8482647209768,379.694,2023-08-22 22:00:40.799000+00:00
47.23531532028012,-119.84826466829385,379.683,2023-08-22 22:00:40.899000+00:00
47.23530305551283,-119.84826464886514,379.668,2023-08-22 22:00:40.999000+00:00
47.235290684528756,-119.84826456134307,379.69100000000003,2023-08-22 22:00:41.099000+00:00
47.23527845419327,-119.8482645340999,379.68600000000004,2023-08-22 22:00:41.199000+00:00
47.2352662970921,-119.84826447320162,379.694,2023-08-22 22:00:41.299000+00:00
47.23525390255079,-119.84826448536171,379.663,2023-08-22 22:00:41.399000+00:00
47.23524168989593,-119.84826449156753,379.607,2023-08-22 22:00:41.499000+00:00
47.23522933107658,-119.8482644570039,379.592,2023-08-22 22:00:41.599000+00:00
47.235216870898874,-119.84826439945765,379.584,2023-08-22 22:00:41.699000+00:00
47.2352045654555,-119.84826437186784,379.55400000000003,2023-08-22 22:00:41.799000+00:00
47.23519204670503,-119.84826432150017,379.54200000000003,2023-08-22 22:00:41.899000+00:00
