DATA INICIAL;DATA FINAL;ESTADO;MUNICÍPIO;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;COEF DE VARIAÇÃO REVENDA
2023-11-05;2023-11-11;AMAZONAS;MANAUS;ETANOL HIDRATADO;35;R$/l;4.59;0.07158235546170144;4.47;4.79;0.016
2023-11-05;2023-11-11;RIO GRANDE DO NORTE;NATAL;ETANOL HIDRATADO;17;R$/l;4.39;0.2802651055906973;3.99;4.89;0.064
2023-11-05;2023-11-11;TOCANTINS;PALMAS;ETANOL HIDRATADO;13;R$/l;4.2;0.2302005814334701;3.97;4.79;0.055
2023-11-05;2023-11-11;RIO GRANDE DO SUL;PORTO ALEGRE;ETANOL HIDRATADO;15;R$/l;4.34;0.25881598537515854;3.97;4.99;0.06
2023-11-05;2023-11-11;PERNAMBUCO;RECIFE;ETANOL HIDRATADO;27;R$/l;3.91;0.15513526861082094;3.78;4.49;0.04
2023-11-05;2023-11-11;ACRE;RIO BRANCO;ETANOL HIDRATADO;9;R$/l;4.7;0.1044030650891055;4.49;4.79;0.022
2023-11-05;2023-11-11;RIO DE JANEIRO;RIO DE JANEIRO;ETANOL HIDRATADO;67;R$/l;3.88;0.15992026507125773;3.59;4.44;0.041
2023-11-05;2023-11-11;BAHIA;SALVADOR;ETANOL HIDRATADO;19;R$/l;3.91;0.21628711695120523;3.49;4.29;0.055
2023-11-05;2023-11-11;MARANHAO;SAO LUIS;ETANOL HIDRATADO;14;R$/l;4.09;0.16402391945642;3.95;4.49;0.04
2023-11-05;2023-11-11;SAO PAULO;SAO PAULO;ETANOL HIDRATADO;179;R$/l;3.47;0.402120696492654;2.89;4.99;0.116
2023-11-05;2023-11-11;PIAUI;TERESINA;ETANOL HIDRATADO;24;R$/l;3.99;0.1434638771885488;3.77;4.29;0.036
2023-11-05;2023-11-11;ESPIRITO SANTO;VITORIA;ETANOL HIDRATADO;9;R$/l;4.17;0.3789605666967358;3.79;4.99;0.091
2023-11-05;2023-11-11;SERGIPE;ARACAJU;GASOLINA ADITIVADA;14;R$/l;6.2;0.06704517093016428;6.1;6.29;0.011
2023-11-05;2023-11-11;PARA;BELEM;GASOLINA ADITIVADA;7;R$/l;6.09;0.40347891902209476;5.69;6.89;0.066
2023-11-05;2023-11-11;MINAS GERAIS;BELO HORIZONTE;GASOLINA ADITIVADA;34;R$/l;5.61;0.139391343074325;5.34;5.79;0.025
2023-11-05;2023-11-11;RORAIMA;BOA VISTA;GASOLINA ADITIVADA;16;R$/l;5.98;0.05042734046791152;5.95;6.15;0.008
2023-11-05;2023-11-11;DISTRITO FEDERAL;BRASILIA;GASOLINA ADITIVADA;43;R$/l;5.66;0.20134706926954016;5.39;6.29;0.036
2023-11-05;2023-11-11;MATO GROSSO DO SUL;CAMPO GRANDE;GASOLINA ADITIVADA;18;R$/l;5.56;0.2166862736226515;5.29;6.19;0.039
2023-11-05;2023-11-11;MATO GROSSO;CUIABA;GASOLINA ADITIVADA;8;R$/l;5.75;0.19885385875777503;5.47;6.09;0.035
2023-11-05;2023-11-11;PARANA;CURITIBA;GASOLINA ADITIVADA;31;R$/l;6.19;0.12160043859570026;5.99;6.39;0.02
2023-11-05;2023-11-11;SANTA CATARINA;FLORIANOPOLIS;GASOLINA ADITIVADA;16;R$/l;5.95;0.23837994882120436;5.59;6.39;0.04
2023-11-05;2023-11-11;CEARA;FORTALEZA;GASOLINA ADITIVADA;38;R$/l;5.52;0.2680991780564381;5.25;6.49;0.049
2023-11-05;2023-11-11;GOIAS;GOIANIA;GASOLINA ADITIVADA;28;R$/l;5.53;0.3060905129473995;4.95;6.09;0.055
2023-11-05;2023-11-11;PARAIBA;JOAO PESSOA;GASOLINA ADITIVADA;12;R$/l;5.84;0.09836157786453001;5.69;5.99;0.017
2023-11-05;2023-11-11;AMAPA;MACAPA;GASOLINA ADITIVADA;3;R$/l;5.77;0.10583005244258363;5.69;5.89;0.018
2023-11-05;2023-11-11;ALAGOAS;MACEIO;GASOLINA ADITIVADA;18;R$/l;5.94;0.1687168025927595;5.69;6.35;0.028
2023-11-05;2023-11-11;AMAZONAS;MANAUS;GASOLINA ADITIVADA;35;R$/l;6.52;0.07186939601828872;6.47;6.69;0.011
2023-11-05;2023-11-11;RIO GRANDE DO NORTE;NATAL;GASOLINA ADITIVADA;16;R$/l;5.52;0.17088860894356495;5.11;5.79;0.031
2023-11-05;2023-11-11;TOCANTINS;PALMAS;GASOLINA ADITIVADA;13;R$/l;6.01;0.17329388111173813;5.79;6.29;0.029
2023-11-05;2023-11-11;RIO GRANDE DO SUL;PORTO ALEGRE;GASOLINA ADITIVADA;34;R$/l;5.63;0.22638285681774264;5.28;6.09;0.04
2023-11-05;2023-11-11;RONDONIA;PORTO VELHO;GASOLINA ADITIVADA;1;R$/l;6.58;0.0;6.58;6.58;0.0
2023-11-05;2023-11-11;PERNAMBUCO;RECIFE;GASOLINA ADITIVADA;16;R$/l;5.52;0.14215015535224246;5.35;5.79;0.026
2023-11-05;2023-11-11;ACRE;RIO BRANCO;GASOLINA ADITIVADA;11;R$/l;6.65;0.07497878487824527;6.54;6.79;0.011
2023-11-05;2023-11-11;RIO DE JANEIRO;RIO DE JANEIRO;GASOLINA ADITIVADA;69;R$/l;5.76;0.29563317977198905;5.19;6.68;0.051
2023-11-05;2023-11-11;BAHIA;SALVADOR;GASOLINA ADITIVADA;18;R$/l;5.66;0.35448803182319477;5.27;6.39;0.063
2023-11-05;2023-11-11;MARANHAO;SAO LUIS;GASOLINA ADITIVADA;14;R$/l;5.33;0.334122600384817;4.98;5.99;0.063
2023-11-05;2023-11-11;SAO PAULO;SAO PAULO;GASOLINA ADITIVADA;192;R$/l;5.9;0.6058554787632686;4.99;8.69;0.103
2023-11-05;2023-11-11;PIAUI;TERESINA;GASOLINA ADITIVADA;23;R$/l;5.63;0.17361991106375607;5.29;5.88;0.031
2023-11-05;2023-11-11;ESPIRITO SANTO;VITORIA;GASOLINA ADITIVADA;12;R$/l;5.82;0.14882112508890422;5.66;6.09;0.026
