nome_usuario,dist_km,media_consumo_km_l,cluster_consumo
KIA_NIRO_EV_2020,4.60953348861,20.12346881836621,2
KIA_NIRO_EV_2020,4.95815754604,20.12346881836621,2
KIA_NIRO_EV_2020,5.1950435219,20.12346881836621,2
KIA_NIRO_EV_2020,5.44832478895,20.12346881836621,2
KIA_NIRO_EV_2020,5.5156424056599995,20.12346881836621,2
KIA_NIRO_EV_2020,9.345503215279999,20.12346881836621,2
KIA_NIRO_EV_2020,12.97572961071,20.12346881836621,2
KIA_NIRO_EV_2020,13.31275289361,20.12346881836621,2
LEXUS_ES_2016,15.38520339359,8.885503485292684,1
LEXUS_RX_2016,9.291104e-05,8.077730441175168,0
LEXUS_RX_2016,2.6984182891,8.077730441175168,0
LEXUS_RX_2020,0.67572021653,8.077730441175168,0
LEXUS_RX_2020,0.7882282066799999,8.077730441175168,0
RAM_1500_5TH_GEN,0.50561115361,7.35144327431512,0
RAM_1500_5TH_GEN,9.10073730226,7.35144327431512,1
RAM_1500_5TH_GEN,11.53117845145,7.35144327431512,1
RAM_1500_5TH_GEN,14.15263407278,7.35144327431512,1
RAM_1500_5TH_GEN,19.46315489744,7.35144327431512,1
RAM_1500_5TH_GEN,20.40394444543,7.35144327431512,1
TOYOTA_CAMRY_HYBRID_2021,0.10609084741,9.087446746322065,0
TOYOTA_CAMRY_HYBRID_2021,0.28393851174,9.087446746322065,0
TOYOTA_CAMRY_HYBRID_2021,0.85332794281,9.087446746322065,0
TOYOTA_CAMRY_HYBRID_2021,1.75479731189,9.087446746322065,0
TOYOTA_CAMRY_HYBRID_2021,2.68450431818,9.087446746322065,0
TOYOTA_CAMRY_HYBRID_2021,4.39491083014,9.087446746322065,0
TOYOTA_CAMRY_HYBRID_2021,4.5429226290699996,9.087446746322065,0
TOYOTA_CAMRY_HYBRID_2021,18.62819593897,9.087446746322065,1
TOYOTA_COROLLA_HYBRID_TSS2_2019,3.019013e-05,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,0.0002950268,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,0.0010444577100000001,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,0.002453852,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,0.00777938148,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,0.025625324209999998,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,0.02991713518,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,0.03480489585,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,0.04616059096,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,0.046446490160000006,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,0.050210877279999996,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,0.05385587956,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,0.05687348658,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,0.06140356876,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,0.07651628846,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,0.09702990212,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,0.09865107066,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,0.15818198516999998,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,0.30779720419,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,0.31361278086,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,0.39946282528,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,0.5172543001000001,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,0.52527161563,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,1.33429827305,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,1.42384958276,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,1.43018320316,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,1.6821876763099999,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,1.7270490442400002,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,1.72712233313,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,2.01037144078,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,2.18435005863,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,3.47933832489,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,3.76021661285,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,3.81495412587,11.186593801759035,0
TOYOTA_COROLLA_HYBRID_TSS2_2019,3.98255301699,11.186593801759035,0
